Bond length	RHF energy (Eh)		MP2 energy (Eh)	CISD en. (Eh) CCSD en. (Eh) FCI energy (Eh)	

0.70  		-108.09906186  		-108.24938171  -108.25025161  -108.25638826 -108.25951913
0.80  		-108.61940409  		-108.79558299  -108.79041473  -108.79900929 -108.80356639
0.90  		-108.82435883  		-109.02847100  -109.01473907  -109.02638257 -109.03295881
1.00  		-108.86777368  		-109.10415349  -109.07801505  -109.09351888 -109.10288938
1.10  		-108.83197879  		-109.10676159  -109.06284911  -109.08323506 -109.09636143
1.20  		-108.76136776  		-109.08179675  -109.01339152  -109.03987159 -109.05783109
1.30  		-108.67930727  		-109.05305093  -108.95258679  -108.98664771 -109.01042367
1.40  		-108.59714862  		-109.03185933  -108.89148198  -108.93523795 -108.96530462
1.50  		-108.51953799  		-109.02268369  -108.83461715  -108.89166465 -108.92716929
1.60  		-108.44783521  		-109.02667432  -108.78336271  -108.86055677 -108.89752093
1.70  		-108.38213554  		-109.04369316  -108.73783476  -108.84830117 -108.87622914
1.80  		-108.32220603  		-109.07321242  -108.69775360  -108.86114730 -108.86205640
1.90  		-108.26777813  		-109.11458257  -108.66270201  -108.89067675 -108.85315802
2.00  		-108.21857356  		-109.16706737  -108.63217242  -108.91938218 -108.84774625
2.10  		-108.17427370  		-109.22986790  -108.60560172  -108.94127157 -108.84447518
2.20  		-108.13450906  		-109.30213740  -108.58243112  -108.95697629 -108.84246898
2.30  		-108.09887565  		-109.38303787  -108.56215694  -108.96810840 -108.84120194
2.40  		-108.06696189  		-109.47177999  -108.54435394  -108.97600963 -108.84036907
2.50  		-108.03837145  		-109.56763149  -108.52867366  -108.98164929 -108.83980828 
2.60  		-108.01273669  		-109.66992816  -108.51483248  -108.98570567 -108.83941331
2.70  		-107.98972450  		-109.77804281  -108.50260716  -108.98865095 -108.83912964
2.80  		-107.96903778  		-109.89136865  -108.49177151  -108.99081002 -108.83891937 
2.90  		-107.95041516  		-110.00929695  -108.48218731  -108.99241125 -108.83875771
3.00  		-107.93362924  		-110.13120861  -108.47370023  -108.99361319 -108.83862198
