Bond length	RHF energy (Eh)		MP2 energy (Eh)	CISD en. (Eh) CCSD en. (Eh) HCI energy (Eh)	
0.70  		-108.21324153  		-108.43921286  -108.44388726  -108.45423705 -108.45456732
0.80  		-108.72476886  		-108.97441862  -108.97443331  -108.98759250 -108.98939878
0.90  		-108.92003076  		-109.19588202  -109.18876116  -109.20539551 -109.20895003
1.00  		-108.95415347  		-109.26039445  -109.24242536  -109.26337538 -109.27018733
1.10  		-108.90969121  		-109.25214431  -109.21815571  -109.24443955 -109.25531325
1.20  		-108.83039704  		-109.21626486  -109.15954754  -109.19233419 -109.20854905
1.30  		-108.73910021  		-109.17655968  -109.08905881  -109.12966167 -109.15307290
1.40  		-108.64736109  		-109.14507511  -109.01784274  -109.06780817 -109.09902873
1.50  		-108.56057481  		-109.12721525  -108.95097434  -109.01234484 -109.05298919
1.60  		-108.48085571  		-109.12474204  -108.89037185  -108.96620131 -109.01679710
1.70  		-108.40873432  		-109.13762168  -108.83646903  -108.93168530 -108.99037412
1.80  		-108.34404183  		-109.16502348  -108.78905643  -108.91166923 -108.97205125
1.90  		-108.28629667  		-109.20578905  -108.74763325  -108.90906972 -108.96051330
2.00  		-108.23487701  		-109.25865080  -108.71156353  -108.92176630 -108.95360425
2.10  		-108.18912033  		-109.32237261  -108.68017533  -108.94019988 -108.94912181
2.20  		-108.14838367  		-109.39583408  -108.65282866  -108.95697401 -108.94618072
2.30  		-108.11207326  		-109.47806435  -108.62895147  -108.97017614 -108.94475070
2.40  		-108.07965555  		-109.56823506  -108.60805087  -108.98013417 -108.94168735
2.50  		-108.05065926  		-109.66562808  -108.58971040  -108.98758697 -108.93943763
2.60  		-108.02467359  		-109.76959310  -108.57358120  -108.99318745 -108.93867326
2.70  		-108.00134408  		-109.87950686  -108.55937162  -108.99743470 -108.93839863
2.80  		-107.98036705  		-109.99474190  -108.54683697  -109.00068967 -108.93824246
2.90  		-107.96148317  		-110.11464957  -108.53577055  -109.00321291 -108.93797768
3.00  		-107.94447054  		-110.23855887  -108.52599598  -109.00519292 -108.93795252 
