Bond Length		 	 SQD Energy[Eh] uniform dist. (d = 1.44M)	SQD Energy[Eh] uniform dist. Right particle (d = 1.44M) 
7.682594499999999549e-01	 -1.084112655560444693e+02 			-1.082214108832247632e+02
8.780108000000000912e-01	 -1.089375725794487835e+02 			-1.087327478331702793e+02
9.877621500000000054e-01	 -1.091590134168932877e+02 			-1.089254187816004560e+02
1.097513500000000031e+00	 -1.092165169843467538e+02 			-1.089762022498161684e+02
1.207264850000000056e+00	 -1.091823247047133236e+02 			-1.089301878253032356e+02
1.317016200000000081e+00	 -1.091297785874125879e+02 			-1.083705970808705814e+02
1.426767550000000107e+00	 -1.090720404045793117e+02 			-1.088019712457948458e+02
1.536518899999999910e+00	 -1.090072873661448511e+02 			-1.087240283081425787e+02
1.646270250000000157e+00	 -1.089396172553220765e+02 			-1.086270634727084001e+02
1.756021600000000182e+00	 -1.089014210066840036e+02 			-1.084628230447565187e+02
1.865772949999999986e+00	 -1.088536518449506616e+02 			-1.085203336607647628e+02
1.975524300000000011e+00	 -1.088193478586641731e+02 			-1.084987026705573214e+02
2.085275649999999814e+00	 -1.087757653337281738e+02 			-1.084550055746153987e+02
2.195027000000000061e+00	 -1.087507541253119427e+02 			-1.084273787748429783e+02
2.304778350000000309e+00	 -1.087042868756001752e+02 			-1.084046552100577117e+02
2.414529700000000112e+00	 -1.086490094915139650e+02 			-1.083868079192852178e+02
2.524281049999999915e+00	 -1.028750999577250269e+02 			-1.083575012731731135e+02
2.634032400000000163e+00	 -1.086522423783125930e+02 			-1.083610325862427146e+02
2.743783749999999966e+00	 -1.086366512667777329e+02 			-1.083500019906060032e+02
2.853535100000000213e+00	 -1.086795571013255426e+02 			-1.083344629637403500e+02
2.963286450000000460e+00	 -1.086686991613316877e+02 			-1.083173254270016912e+02
3.073037799999999820e+00	 -1.086788061677349901e+02 			-1.084971946219868784e+02
3.182789150000000067e+00	 -1.086557292278868374e+02 			-1.082938506288206924e+02
