Bond Length	SQD energy (LUCJ optimal L = 1)
0.70		-108.25673203     
0.80		-108.79895809	
0.90		-109.0284505	
1.00		-109.09687557	
1.10		-109.08711875	
1.20		-109.05071033	
1.30		-109.00508151	  
1.40		-108.95876841 	  
1.50		-108.91849204 	  
1.60		-108.88950122	  
1.70		-108.86791974 	  
1.80		-108.85268849	  
1.90    	-108.84621639		  
2.00  		-108.83774353 	  
2.10  		-108.83140123
2.20  		-108.82906966
2.30  		-108.82433011
2.40  		-108.81312618  
2.50  		-108.81530521
2.60  		-108.81519743
2.70  		-108.81664039
2.80  		-108.8087042
2.90  		-108.80109075 
3.00  		-108.79705726
